tconst	averageRating
tt0000009	5.4
tt0000147	5.2
tt0000335	6.2
tt0000574	6.1
tt0000615	4.8
tt0000630	3.4
tt0000675	4.2
tt0000676	3.6
tt0000679	4.8
tt0000739	6.2
tt0000793	4.2
tt0000862	4.6
tt0000886	5.2
tt0000891	5.1
tt0000941	4.2
tt0000992	4.6
tt0001028	4.0
tt0001038	4.0
tt0001049	3.6
tt0001101	4.5
tt0001112	3.3
tt0001113	5.6
tt0001115	4.7
tt0001116	4.9
tt0001122	5.2
tt0001159	5.6
tt0001175	5.5
tt0001184	3.1
tt0001186	5.2
tt0001230	5.0
tt0001240	3.6
tt0001258	5.8
tt0001277	4.8
tt0001285	5.1
tt0001338	5.4
tt0001358	4.1
tt0001370	5.2
tt0001381	5.2
tt0001386	4.6
tt0001440	4.8
tt0001475	7.4
tt0001482	4.9
tt0001530	5.6
tt0001531	4.6
tt0001586	3.9
tt0001587	3.7
tt0001630	5.8
tt0001692	5.3
tt0001790	5.8
tt0001803	3.0
tt0001812	5.8
tt0001889	4.0
tt0001892	5.9
tt0001911	4.1
tt0001964	6.1
tt0001993	4.0
tt0001998	4.3
tt0002026	4.0
tt0002031	4.6
tt0002101	5.2
tt0002130	7.0
tt0002153	5.7
tt0002186	6.4
tt0002199	5.7
tt0002220	4.1
tt0002305	7.5
tt0002329	5.4
tt0002405	4.7
tt0002406	4.7
tt0002423	6.8
tt0002445	6.2
tt0002452	6.7
tt0002461	5.5
tt0002514	5.9
tt0002555	5.0
tt0002556	5.8
tt0002605	5.6
tt0002628	5.7
tt0002646	6.7
tt0002669	6.2
tt0002678	5.9
tt0002736	6.2
tt0002767	5.4
tt0002801	5.1
tt0002822	4.2
tt0002832	7.0
tt0002844	7.0
tt0002885	6.0
tt0002898	6.9
tt0002917	5.7
tt0002922	4.7
tt0002973	5.2
tt0002996	4.2
tt0003006	5.9
tt0003014	7.1
tt0003015	4.5
tt0003022	5.4
tt0003037	7.0
tt0003102	6.5
tt0003131	6.7
tt0003133	5.7
tt0003159	5.7
tt0003165	7.0
tt0003167	5.7
tt0003241	4.6
tt0003301	5.8
tt0003309	5.1
tt0003330	6.3
tt0003337	5.7
tt0003362	5.2
